ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/skc_rework_phase0	
skc_rework_deploy_siege	wh3_main_kho_veh_skullcannon_0
wh3_main_unit_passive_daemonic_instability_khorne	wh3_main_kho_veh_skullcannon_0
wh3_main_unit_passive_daemonic_instability_khorne_ii	wh3_main_kho_veh_skullcannon_0
wh3_main_unit_passive_gorefeast	wh3_main_kho_veh_skullcannon_0
wh3_main_unit_passive_single_entity	wh3_main_kho_veh_skullcannon_0
wh3_main_unit_passive_skullfeast	wh3_main_kho_veh_skullcannon_0
skc_rework_undeploy	skc_rework_skullcannon_siege
wh3_main_unit_passive_daemonic_instability_khorne	skc_rework_skullcannon_siege
wh3_main_unit_passive_daemonic_instability_khorne_ii	skc_rework_skullcannon_siege
wh3_main_unit_passive_gorefeast	skc_rework_skullcannon_siege
wh3_main_unit_passive_single_entity	skc_rework_skullcannon_siege
wh3_main_unit_passive_skullfeast	skc_rework_skullcannon_siege
